class_name,image_count
Adho Mukha Svanasana,74
Adho Mukha Vrksasana,65
Alanasana,18
Anjaneyasana,71
Ardha Chandrasana,59
Ardha Matsyendrasana,96
Ardha Navasana,13
Ardha Pincha Mayurasana,54
Ashta Chandrasana,12
Baddha Konasana,81
Bakasana,84
Balasana,79
Bitilasana,94
Camatkarasana,62
Dhanurasana,54
Eka Pada Rajakapotasana,53
Garudasana,85
Halasana,71
Hanumanasana,41
Malasana,73
Marjaryasana,56
Navasana,18
Padmasana,77
Parsva Virabhadrasana,14
Parsvottanasana,43
Paschimottanasana,62
Phalakasana,66
Pincha Mayurasana,43
Salamba Bhujangasana,62
Salamba Sarvangasana,73
Setu Bandha Sarvangasana,66
Sivasana,20
Supta Kapotasana,13
Trikonasana,23
Upavistha Konasana,17
Urdhva Dhanurasana,74
Urdhva Mukha Svsnssana,69
Ustrasana,96
Utkatasana,81
Uttanasana,71
Utthita Hasta Padangusthasana,64
Utthita Parsvakonasana,69
Vasisthasana,80
Virabhadrasana One,63
Virabhadrasana Three,69
Virabhadrasana Two,60
Vrksasana,68
