model,layer_name,layer_type,output_shape,parameters,trainable
custom_cnn,input,InputLayer,N/A,0,True
custom_cnn,conv2d_8,Conv2D,N/A,896,True
custom_cnn,batch_normalization_8,BatchNormalization,N/A,128,True
custom_cnn,conv2d_9,Conv2D,N/A,9248,True
custom_cnn,batch_normalization_9,BatchNormalization,N/A,128,True
custom_cnn,max_pooling2d_4,MaxPooling2D,N/A,0,True
custom_cnn,dropout_5,Dropout,N/A,0,True
custom_cnn,conv2d_10,Conv2D,N/A,18496,True
custom_cnn,batch_normalization_10,BatchNormalization,N/A,256,True
custom_cnn,conv2d_11,Conv2D,N/A,36928,True
custom_cnn,batch_normalization_11,BatchNormalization,N/A,256,True
custom_cnn,max_pooling2d_5,MaxPooling2D,N/A,0,True
custom_cnn,dropout_6,Dropout,N/A,0,True
custom_cnn,conv2d_12,Conv2D,N/A,73856,True
custom_cnn,batch_normalization_12,BatchNormalization,N/A,512,True
custom_cnn,conv2d_13,Conv2D,N/A,147584,True
custom_cnn,batch_normalization_13,BatchNormalization,N/A,512,True
custom_cnn,max_pooling2d_6,MaxPooling2D,N/A,0,True
custom_cnn,dropout_7,Dropout,N/A,0,True
custom_cnn,conv2d_14,Conv2D,N/A,295168,True
custom_cnn,batch_normalization_14,BatchNormalization,N/A,1024,True
custom_cnn,conv2d_15,Conv2D,N/A,590080,True
custom_cnn,batch_normalization_15,BatchNormalization,N/A,1024,True
custom_cnn,max_pooling2d_7,MaxPooling2D,N/A,0,True
custom_cnn,dropout_8,Dropout,N/A,0,True
custom_cnn,global_average_pooling2d_1,GlobalAveragePooling2D,N/A,0,True
custom_cnn,dense_1,Dense,N/A,131584,True
custom_cnn,dropout_9,Dropout,N/A,0,True
custom_cnn,predictions,Dense,N/A,24111,True
